rname,raddress,roverall_raw,rfood_raw,rservice_raw,rvalue_raw,ratmo_raw,cname,mname,roverall,rfood,rservice,rvalue,ratmo
Tacho's Mexican Restaurant,"515 Molalla Ave, Oregon City, OR 97045-2635",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,1 Chorizo Burrito,80,80,70,80,80
Three River's Grill,"601 Oak St, Hood River, OR 97031-1811",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Vegan Options,,80,80,80,80,90
Muchas Gracis,"2697 Pacific Blvd SE, Albany, OR 97321-5074",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,null,Mexican,,90,90,90,#VALUE!,#VALUE!
Stone Cliff Inn,"17900 S Clackamas River Dr, Hwy 224, Oregon City, OR 97045-8488",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Smoked Salmon Platter,80,80,80,80,90
Umami Sushi & Asian Cuisine,"62 E Main St, Ashland, OR 97520-1814",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Pattaya Chicken,80,90,90,80,80
Brickhouse Restaurant,"412 SW 6th St, Redmond, OR 97756-2203",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Fried Mozzarella,80,80,90,80,80
Stone Cliff Inn,"17900 S Clackamas River Dr, Hwy 224, Oregon City, OR 97045-8488",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Hummus Platter,80,80,80,80,90
Boda's Kitchen,"404 Oak St, Hood River, OR 97031-2032",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,90,90,80,80
Stonehedge Gardens Wine Country Bistro,"3405 Wine Country Avenue, Hood River, OR 97031-9783",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,Vegetarian Friendly,,90,90,90,#VALUE!,90
Pho House,"1604 S Highway 97, Suite 9, Redmond, OR 97756-8420",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Asian,,90,90,90,80,80
China Gorge Restaurant,"2680 Old Columbia River Dr, Hood River, OR 97031-9523",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,,Fried Wonton (6),80,90,90,#VALUE!,70
New Hing's Restaurant,"517 Main St, Oregon City, OR 97045-1810",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,,Crab Puffs,80,80,80,80,60
Sweet Red Coffee & Wine Bistro,"208 1st Ave SW, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,,,90,90,90,#VALUE!,90
The Open Range,"17250 Highway 66, About 30 minutes east of Ashland, Ashland, OR 97520-9406",5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,ui_bubble_rating bubble_50,,Wolfie's Borscht on a Stick,100,90,100,#VALUE!,100
Martino's Restaurant & Bar,"58 E Main St, Ashland, OR 97520-1814",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Chicken Saltimbocca,80,80,80,80,80
Diego's Spirited Kitchen,"447 SW 6th St, Redmond, OR 97756-2204",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Meat Super Nachos,90,90,90,80,80
McMenamins Roseburg Station Pub & Brewery,"700 SE Sheridan St, Roseburg, OR 97470-3470",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,American,,80,80,80,80,90
Tavern on Kruse,"4835 Meadows Rd Ste 133, Lake Oswego, OR 97035-2624",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,Fresh Burrata Cheese,80,80,80,80,#VALUE!
Vault 244 Bistro,"244 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Mango Crab Stack,90,90,90,80,90
The Subterranean,"113 3rd St, Hood River, OR 97031-2009",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Vegetarian Friendly,,80,90,80,80,70
First Burger,"210 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,The Western 50/50,90,90,90,80,80
Brickhouse Restaurant,"412 SW 6th St, Redmond, OR 97756-2203",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Artichoke & Spinach Dip,80,80,90,80,80
Hale's,"17502 SE McLoughlin Blvd, Milwaukie, OR 97267-5907",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,90,90,90,80,80
Elmer's Restaurant - Albany,"2802 Santiam Hwy SE, Albany, OR 97322-5253",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,80,90,80,80
Chart House,"5700 SW Terwilliger, Portland, OR 97239",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,"Crab, Avocado & Mango Stack",80,80,90,80,90
five-0-three restaurant & bar,"21900 Willamette Dr, West Linn, OR 97068-3280",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,grilled shrimp,80,80,90,80,80
Calapooia Brewing Company,"140 NE Hill St, Albany, OR 97321-3002",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Mushroom Swiss Burger,80,80,80,80,80
Super Torta,"710 Washington St, Oregon City, OR 97045-1943",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_30,,Chimichangas,90,90,90,#VALUE!,60
Oswego Grill,"7 Centerpointe Dr, Lake Oswego, OR 97035-8601",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Ahi Tuna & Crab Roll*,90,90,90,80,90
Taj Indian Cuisine,"31 Water St, Ashland, OR 97520-1859",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Mixed Vegetable Pakora,80,80,80,80,80
Pho House,"1604 S Highway 97, Suite 9, Redmond, OR 97756-8420",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,"Artichoke, Spinach, Jalapeno & Crab Dip",90,90,90,80,80
Burrito Vaquero Mexican Restaurant,"850 Garden Valley Blvd, Roseburg, OR 97470",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Latin,,90,90,90,80,80
Babica Hen Cafe,"15964 Boones Ferry Rd, Lake Oswego, OR 97035-4361",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,90,90,80,80
Chart House,"5700 SW Terwilliger, Portland, OR 97239",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Fried Asparagus,80,80,90,80,90
Christie's Kitchen,"614 NW Cedar Ave, Redmond, OR 97756-1754",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,80,90,80,80
The Mesquitery,"1219 12th St, Hood River, OR 97031-1603",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Garlic Bread,90,80,80,80,80
Cascade Grill,"110 Opal St NE, Albany, OR 97322-7077",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Traditional Buffalo Wings,80,80,80,80,80
Omar's Fresh Seafood and Steaks,"1380 Siskiyou Blvd, Ashland, OR 97520-2333",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,,80,80,80,80,70
A Cena Ristorante y Enoteca,"7742 SE 13th Ave, Portland, OR 97202-6348",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,,Antipasto,90,90,90,#VALUE!,90
White Buffalo Wine Bar and Bistro,"4040 Westcliff Dr, Hood River, OR 97031-8711",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Salad,90,80,90,80,80
Calapooia Brewing Company,"140 NE Hill St, Albany, OR 97321-3002",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Cobb Burger,80,80,80,80,80
Riccardo's,"16035 Boones Ferry Rd, Lake Oswego, OR 97035-4303",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Piatto Misto,90,90,90,80,90
Madaline's Grill Mexican American Bistro,"2414 S Highway 97, Redmond, OR 97756-8874",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Mexican,,80,90,90,80,80
Three River's Grill,"601 Oak St, Hood River, OR 97031-1811",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Quiche of the Day,80,80,80,80,90
Tacho's Mexican Restaurant,"515 Molalla Ave, Oregon City, OR 97045-2635",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,1 Taco Loco Soft or Crispy,80,80,70,80,80
thai basil,"6328 Meadows Rd, Lake Oswego, OR 97035-3280",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,90,80,80,80
Oh! Teriyaki,"1630 Beavercreek Rd Ste D, Oregon City, OR 97045-4156",4.5,null,null,null,null,,,90,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Baird's on B,"485 2nd St, Corner of 2nd and B Ave, Lake Oswego, OR 97034-3126",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,,,90,90,90,#VALUE!,90
Sam City Fusion,"2180 Pacific Blvd SE, Albany, OR 97321-5271",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Deep Fried Mushroom,80,80,80,80,80
Thai Chef,"2262 Molalla Ave, Oregon City, OR 97045-8923",4.5,null,null,null,null,,,90,#VALUE!,#VALUE!,#VALUE!,#VALUE!
House of Noodle,"2025 Santiam Hwy SE, Albany, OR 97322-4930",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Shrimp Tempura,80,80,80,80,70
Three River's Grill,"601 Oak St, Hood River, OR 97031-1811",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Smokey Club,80,80,80,80,90
Sam City Fusion,"2180 Pacific Blvd SE, Albany, OR 97321-5271",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Sweet Ball,80,80,80,80,80
Yvonne's,"818A Main St, Oregon City, OR 97045-1817",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,American,,90,90,90,80,#VALUE!
One Street Down Cafe,"124 SW 7th St, Redmond, OR 97756-2110",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Harvest Breakfast,90,90,90,80,90
Diego's Spirited Kitchen,"447 SW 6th St, Redmond, OR 97756-2204",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Forest Mushroom & Pepper Jack Quesadilla,90,90,90,80,80
Brickhouse Restaurant,"412 SW 6th St, Redmond, OR 97756-2203",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Steakhouse,,80,80,90,80,80
Riccardo's,"16035 Boones Ferry Rd, Lake Oswego, OR 97035-4303",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Insalata con Gamberetti alla Griglia,90,90,90,80,90
Brian's Pourhouse,"606 Oak St, Hood River, OR 97031-1812",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Vegetarian Friendly,,80,80,90,80,90
A Cena Ristorante y Enoteca,"7742 SE 13th Ave, Portland, OR 97202-6348",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,,Polipo,90,90,90,#VALUE!,90
The Pig And Pound Public House,"427 SW 8th St, Redmond, OR 97756-2209",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,90,80,80,80
The Original pancake house,"3030 SW 6th St, Redmond, OR 97756-7162",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,90,90,80,80
Mazatlan Mexican Restaurant,"1678 Beavercreek Rd, Ste B, Oregon City, OR 97045-4158",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,null,Mexican,,80,90,90,#VALUE!,#VALUE!
A Cena Ristorante y Enoteca,"7742 SE 13th Ave, Portland, OR 97202-6348",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,,Fritto Misto*,90,90,90,#VALUE!,90
Kehoe And Co.,"709 Main St, Oregon City, OR 97045-1814",4.5,null,null,null,null,,,90,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Egg River Cafe,"1313 Oak St, Hood River, OR 97031-1411",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Orchard Valley Roll Up,90,90,80,80,70
Bluebird Pizza,"1612 NW Keasey St, Roseburg, OR 97471-1886",5,null,null,null,null,,,100,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Los Dos Amigos,"2133 Santiam Hwy SE, Albany, OR 97322-5204",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Mexican,,80,80,90,80,70
Chart House,"5700 SW Terwilliger, Portland, OR 97239",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Crab Stuffed Mushrooms,80,80,90,80,90
The Subterranean,"113 3rd St, Hood River, OR 97031-2009",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,American,,80,90,80,80,70
White Buffalo Wine Bar and Bistro,"4040 Westcliff Dr, Hood River, OR 97031-8711",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Salad,90,80,90,80,80
Diego's Spirited Kitchen,"447 SW 6th St, Redmond, OR 97756-2204",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Tostada Shrimp Ceviché,90,90,90,80,80
Mazatlan Mexican Restaurant,"1302 S Highway 97, Redmond, OR 97756-9575",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Quesadilla Shrimp,90,80,90,80,90
"Red Martini, Wine Bar & Grill","509 SW 6th St, Redmond, OR 97756-2702",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Vegetarian Friendly,,90,90,90,80,90
Cascade Grill,"110 Opal St NE, Albany, OR 97322-7077",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,O’ Rings,80,80,80,80,80
Pho Thi,"716 Main St Ste B, Oregon City, OR 97045-1826",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Thai,,80,80,80,80,70
Weinhard Grill,"812 Main St, Oregon City, OR 97045-1817",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Steakhouse,,80,80,80,80,#VALUE!
Riccardo's,"16035 Boones Ferry Rd, Lake Oswego, OR 97035-4303",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Vegetarian Friendly,,90,90,90,80,90
Oswego Grill,"7 Centerpointe Dr, Lake Oswego, OR 97035-8601",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Flash Seared Ahi Tuna*,90,90,90,80,90
Brian's Pourhouse,"606 Oak St, Hood River, OR 97031-1812",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,American,,80,80,90,80,90
Stone Cliff Inn,"17900 S Clackamas River Dr, Hwy 224, Oregon City, OR 97045-8488",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Roasted Brussels Sprouts**,80,80,80,80,90
pFriem Family Brewers,"707 Portway Ave Ste 101, Hood River, OR 97031-1218",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,American,,90,80,80,80,90
The Highland Stillhouse Pub,"201 S 2nd St, Oregon City, OR 97045-2905",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Mac & Cheese,80,90,80,80,90
One Street Down Cafe,"124 SW 7th St, Redmond, OR 97756-2110",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Breakfast Burrito,90,90,90,80,90
Thai Pepper,"84 N Main St, Ashland, OR 97520-2782",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,SPICY LEMON GRASS SOUP - 7 with Shrimp,80,80,80,80,80
Brickhouse Restaurant,"412 SW 6th St, Redmond, OR 97756-2203",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Peppered Filet Tips,80,80,90,80,80
Seventh Street Brew House,"855 SW 7th St, Redmond, OR 97756-3106",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Mug Club,80,80,80,80,80
Double Mountain Brewery,"8 4th St Ste 204, Hood River, OR 97031-2123",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,90,90,80,80
Crazy Pepper,"103 4th St, Hood River, OR 97031-2072",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Chips & Cheese,80,80,90,80,80
Celilo Restaurant and Bar,"16 Oak St, Hood River, OR 97031-2310",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Trout Cakes,90,90,90,80,90
Callahan's Mountain Lodge,"7100 Old Highway 99 S, Ashland, OR 97520-8747",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Vegetarian Friendly,,80,80,90,80,90
Don Pepe's,"705 Main St, Oregon City, OR 97045-1814",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,Vegetarian Friendly,,90,80,90,80,#VALUE!
First Burger,"210 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Chili Burger,90,90,90,80,80
Mazatlan Mexican Restaurant,"1302 S Highway 97, Redmond, OR 97756-9575",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Mexican,,90,80,90,80,90
Egg River Cafe,"1313 Oak St, Hood River, OR 97031-1411",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Turkey Club Roll Up,90,90,80,80,70
One Street Down Cafe,"124 SW 7th St, Redmond, OR 97756-2110",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Cafe,,90,90,90,80,90
Carino's Italian,"1825 14th Ave SE, Albany, OR 97322-8502",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Pepperoni Calzone,80,80,80,80,70
Martino's Restaurant & Bar,"58 E Main St, Ashland, OR 97520-1814",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Lamb Shank Osso Bucco,80,80,80,80,80
Gubanc's,"16008 Boones Ferry Rd, Lake Oswego, OR 97035-4304",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Baked Crab & Artichoke Dip w/ Croutons,90,80,90,80,80
White Buffalo Wine Bar and Bistro,"4040 Westcliff Dr, Hood River, OR 97031-8711",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,80,90,80,80
Abby's Legendary Pizza,"1938 S Highway 97, Redmond, OR 97756-8869",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Pizza,,80,90,80,80,80
Sybaris,"442 1st Ave W, Albany, OR 97321-2228",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,ui_bubble_rating bubble_45,,Gratin of Belgian endive and gruyere,90,90,100,#VALUE!,90
pFriem Family Brewers,"707 Portway Ave Ste 101, Hood River, OR 97031-1218",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,,90,80,80,80,90
Frankie's Restaurant,"641 Hickory St NW Ste 160, Albany, OR 97321-1768",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,90,80,80,80
The Open Range,"17250 Highway 66, About 30 minutes east of Ashland, Ashland, OR 97520-9406",5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,ui_bubble_rating bubble_50,,Caprese Skewers,100,90,100,#VALUE!,100
Riverside Restaurant,"1108 E Marina Way, Best Western Plus Hood River Inn, Hood River, OR 97031-2378",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,BREAKFAST VEGGIE BOWL,90,90,90,80,90
Kowloon Restaurant,"2686 NE Diamond Lake Blvd, Roseburg, OR 97470-3647",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Teriyaki Chicken Strips,80,80,80,80,70
Midway Historic Public House,"1003 7th St, Oregon City, OR 97045-2405",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,80,80,80,80
Thai Pepper,"84 N Main St, Ashland, OR 97520-2782",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Thai Spring Rolls,80,80,80,80,80
Stanford's Restaurant and Bar,"14801 Kruse Oaks Blvd, Lake Oswego, OR 97035-8600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Country Fried Calamari,80,80,80,80,80
China Gorge Restaurant,"2680 Old Columbia River Dr, Hood River, OR 97031-9523",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,Asian,,80,90,90,#VALUE!,70
Diego's Spirited Kitchen,"447 SW 6th St, Redmond, OR 97756-2204",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,90,90,90,80,80
Seasons & Regions Seafood Grill,"6660 SW Capitol Hwy, Portland, OR 97219-1915",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Dungeness Crab Stuffed Prawns,90,90,90,80,80
Chi's Garden Restaurant,"1023 North East Stephens Street, Roseburg, OR 97470",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Asian,,80,80,90,80,70
Denny's,"3435 Spicer Dr SE, Albany, OR 97322-7039",4,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,null,null,,Strawberry Mango Pucker,80,70,70,#VALUE!,#VALUE!
Taj Indian Cuisine,"31 Water St, Ashland, OR 97520-1859",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Indian,,80,80,80,80,80
Mazatlan Mexican Restaurant,"1302 S Highway 97, Redmond, OR 97756-9575",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Quesadilla,90,80,90,80,90
The Verdict Bar And Grill,"110 8th St, Oregon City, OR 97045-1806",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,Tex Mex Egg Rolls,80,80,80,80,#VALUE!
